cod;nome;período;valor
43;RS;2008;3.83
32;ES;2008;3.55
15;PA;2008;3.14
17;TO;2008;2.5
25;PB;2008;1.03
53;DF;2008;1.17
24;RN;2008;1.25
23;CE;2008;1.28
21;MA;2008;1.44
22;PI;2008;1.71
28;SE;2008;2.01
25;PB;2009;1.38
52;GO;2009;3.61
33;RJ;2009;3.12
24;RN;2009;3.08
42;SC;2009;2.94
35;SP;2009;2.8
31;MG;2009;2.76
15;PA;2009;2.62
14;RR;2009;19
41;PR;2009;6.62
51;MT;2009;6.49
50;MS;2009;6.46
12;AC;2009;6.45
11;RO;2009;5.34
16;AP;2009;2.42
28;SE;2009;2.42
26;PE;2009;2.41
17;TO;2009;4.65
43;RS;2009;3.84
21;MA;2009;2.33
53;DF;2009;2.32
22;PI;2009;1.99
13;AM;2009;1.96
23;CE;2009;1.87
27;AL;2009;0.51
32;ES;2009;3.75
29;BA;2009;1.72
16;AP;2010;2.55
29;BA;2010;2.28
21;MA;2010;2.24
24;RN;2010;2.09
23;CE;2010;1.89
28;SE;2010;1.73
26;PE;2010;1.67
17;TO;2010;1.59
27;AL;2010;1.45
13;AM;2010;1.27
25;PB;2010;1.05
41;PR;2010;6.91
50;MS;2010;5.05
51;MT;2010;4.46
32;ES;2010;3.9
43;RS;2010;3.77
11;RO;2010;3.71
52;GO;2010;3.62
15;PA;2010;3.35
42;SC;2010;3.31
14;RR;2010;3.29
12;AC;2010;3.13
31;MG;2010;2.88
35;SP;2010;2.86
33;RJ;2010;2.85
22;PI;2010;2.74
53;DF;2010;2.38
21;MA;2011;2.53
22;PI;2011;1.05
26;PE;2011;1.21
14;RR;2011;1.56
23;CE;2011;1.58
24;RN;2011;1.59
27;AL;2011;1.62
29;BA;2011;2.2
25;PB;2011;2.24
42;SC;2011;2.36
53;DF;2011;2.42
35;SP;2011;2.55
28;SE;2011;2.79
33;RJ;2011;2.93
15;PA;2011;2.95
31;MG;2011;3.29
13;AM;2011;3.51
43;RS;2011;3.62
16;AP;2011;4.05
12;AC;2011;4.07
32;ES;2011;4.49
11;RO;2011;4.5
51;MT;2011;4.65
52;GO;2011;4.78
17;TO;2011;5.36
41;PR;2011;5.42
50;MS;2011;5.54
43;RS;2012;4.14
32;ES;2012;2.01
24;RN;2012;2.23
21;MA;2012;2.28
35;SP;2012;2.48
29;BA;2012;2.55
27;AL;2012;2.83
16;AP;2012;2.92
42;SC;2012;2.92
28;SE;2012;2.94
31;MG;2012;3.09
15;PA;2012;3.15
12;AC;2012;1.03
11;RO;2012;4.37
50;MS;2012;4.99
52;GO;2012;5.18
17;TO;2012;5.24
53;DF;2012;1.73
22;PI;2012;1.34
26;PE;2012;1.25
25;PB;2012;1.09
23;CE;2012;1.81
33;RJ;2012;3.1
51;MT;2012;5.88
41;PR;2012;6.07
13;AM;2012;6.62
14;RR;2012;17.9
13;AM;2013;6.08
11;RO;2013;7.11
26;PE;2013;1.58
25;PB;2013;1.61
53;DF;2013;1.72
23;CE;2013;2.43
16;AP;2013;2.45
22;PI;2013;2.53
28;SE;2013;2.55
35;SP;2013;2.62
29;BA;2013;2.67
24;RN;2013;2.84
14;RR;2013;36.1
31;MG;2013;3.13
21;MA;2013;3.13
33;RJ;2013;3.36
12;AC;2013;3.37
43;RS;2013;3.52
15;PA;2013;4.13
27;AL;2013;4.32
17;TO;2013;4.44
32;ES;2013;4.45
51;MT;2013;4.85
42;SC;2013;2.8
52;GO;2013;5.26
50;MS;2013;5.56
41;PR;2013;5.58
29;BA;2014;3.02
27;AL;2014;0.878
16;AP;2014;1.07
22;PI;2014;1.13
25;PB;2014;1.69
23;CE;2014;1.77
53;DF;2014;1.95
